"","Date","SPY_Values","Values","Invest"
"1993-10-01",1993-10-01,1000,1000,1000
"1993-10-04",1993-10-04,1001.35431461614,1000,0
"1993-10-05",1993-10-05,1000,1003.3228367668,0
"1993-10-06",1993-10-06,999.323326670207,1000,0
"1993-10-07",1993-10-07,996.614769138419,1013.28987983676,0
"1993-10-08",1993-10-08,997.969155455041,1053.15658488618,0
"1993-10-11",1993-10-11,1000,1056.47912820689,0
"1993-10-12",1993-10-12,1001.35431461614,1033.22352580756,0
"1993-10-13",1993-10-13,1001.35431461614,1063.12318778701,0
"1993-10-14",1993-10-14,1014.21802697903,1063.12318778701,0
"1993-10-15",1993-10-15,1019.63460428897,1059.80123135847,0
"1993-10-18",1993-10-18,1016.92644110985,1106.31258288018,0
"1993-10-19",1993-10-19,1009.47887585398,1059.80123135847,0
"1993-10-20",1993-10-20,1010.83240176478,1063.12318778701,0
"1993-10-21",1993-10-21,1009.47887585398,1083.05668703476,0
"1993-10-22",1993-10-22,1004.73893602359,1009.96733651605,0
"1993-10-25",1993-10-25,1007.44788790805,1036.54548223609,0
"1993-10-26",1993-10-26,1006.77039002268,1003.3228367668,0
"1993-10-27",1993-10-27,1007.44788790805,970.100191297504,0
"1993-10-28",1993-10-28,1014.89513051173,983.389630965135,0
"1993-10-29",1993-10-29,1014.89513051173,943.521898854416,0
"1993-11-01",1993-11-01,1017.60304273915,963.45554482521,0
"1993-11-02",1993-11-02,1016.92644110985,950.166398603666,0
"1993-11-03",1993-11-03,1004.0625136455,950.166398603666,0
"1993-11-04",1993-11-04,993.229394875867,923.588399606665,0
"1993-11-05",1993-11-05,997.969155455041,950.166398603666,0
"1993-11-08",1993-11-08,999.323326670207,970.100191297504,0
"1993-11-09",1993-11-09,1000,956.810458183786,0
"1993-11-10",1993-11-10,1007.44788790805,1009.96733651605,0
"1993-11-11",1993-11-11,1004.73893602359,996.677750125375,0
"1993-11-12",1993-11-12,1009.47887585398,996.677750125375,0
"1993-11-15",1993-11-15,1008.80152136958,1009.96733651605,0
"1993-11-16",1993-11-16,1013.54142534972,1009.96733651605,0
"1993-11-17",1993-11-17,1008.1245253876,996.677750125375,0
"1993-11-18",1993-11-18,1005.41636220848,976.744837769798,0
"1993-11-19",1993-11-19,1003.38537426255,956.810458183786,0
"1993-11-22",1993-11-22,997.291800970638,956.810458183786,0
"1993-11-23",1993-11-23,1002.70855753179,990.033690545255,0
"1993-11-24",1993-11-24,1006.77039002268,970.100191297504,0
"1993-11-26",1993-11-26,1007.44788790805,970.100191297504,0
"1993-11-29",1993-11-29,1003.38537426255,963.45554482521,0
"1993-11-30",1993-11-30,1004.0625136455,1016.6118362653,0
"1993-12-01",1993-12-01,2005.41636220848,2063.12318778701,1000
"1993-12-02",1993-12-02,2010.81809919534,2113.42565910704,0
"1993-12-03",1993-12-03,2018.92109796608,2139.31972720586,0
"1993-12-06",1993-12-06,2025.67239323457,2187.86345147143,0
"1993-12-07",1993-12-07,2024.32283495294,2145.69041116305,0
"1993-12-08",1993-12-08,2024.32283495294,2126.30469022248,0
"1993-12-09",1993-12-09,2017.57032405943,2097.83022929823,0
"1993-12-10",1993-12-10,2013.51950399392,2099.99967835098,0
"1993-12-13",1993-12-13,2025.67239323457,2082.23562815598,0
"1993-12-14",1993-12-14,2010.81809919534,2044.81135928483,0
"1993-12-15",1993-12-15,2008.11712344088,2073.55866061154,0
"1993-12-16",1993-12-16,2014.8699203638,2066.64019834718,0
"1993-12-17",1993-12-17,2025.94240500119,2113.01554400093,0
"1993-12-20",1993-12-20,2028.6619011602,2121.41801380979,0
"1993-12-21",1993-12-21,2021.86341103843,2095.1139773279,0
"1993-12-22",1993-12-22,2035.46146389227,2090.77590788896,0
"1993-12-23",1993-12-23,2034.10203759586,2101.3472398584,0
"1993-12-27",1993-12-27,2044.97859208481,2112.46791241679,0
"1993-12-28",1993-12-28,2049.05801509169,2103.24287311908,0
"1993-12-29",1993-12-29,2046.3375893371,2105.27534091428,0
"1993-12-30",1993-12-30,2038.18146060275,2170.89913280496,0
"1993-12-31",1993-12-31,2027.30226034173,2144.73124891407,0
"1994-01-03",1994-01-03,2021.86341103843,2131.57937739616,0
"1994-01-04",1994-01-04,2030.02240006691,2137.9499146303,0
"1994-01-05",1994-01-05,2034.10203759586,2157.33631751439,0
"1994-01-06",1994-01-06,2034.10203759586,2115.43670450065,0
"1994-01-07",1994-01-07,2046.3375893371,2093.05964696199,0
"1994-01-10",1994-01-10,2070.81212517253,2112.30892186548,0
"1994-01-11",1994-01-11,2066.73377477595,2103.63195432103,0
"1994-01-12",1994-01-12,2059.93571369829,2096.98745457178,0
"1994-01-13",1994-01-13,2054.49772248324,2097.26127036385,0
"1994-01-14",1994-01-14,2062.6552098573,2140.91938865767,0
